"date","home.team","home.score","away.team","away.score"
"18/08/17","Leganes",16,"Alaves",6
"18/08/17","Valencia",22,"Las Palmas",5
"19/08/17","Celta",16,"Sociedad",13
"19/08/17","Girona",13,"Ath Madrid",9
"19/08/17","Sevilla",9,"Espanol",9
"20/08/17","Ath Bilbao",12,"Getafe",8
"20/08/17","Barcelona",15,"Betis",3
"20/08/17","La Coruna",12,"Real Madrid",16
"21/08/17","Levante",14,"Villarreal",9
"21/08/17","Malaga",10,"Eibar",13
"25/08/17","Betis",10,"Celta",9
"25/08/17","Sociedad",15,"Villarreal",6
"26/08/17","Alaves",11,"Barcelona",23
"26/08/17","Girona",15,"Malaga",7
"26/08/17","Las Palmas",10,"Ath Madrid",8
"26/08/17","Levante",24,"La Coruna",11
"27/08/17","Eibar",14,"Ath Bilbao",10
"27/08/17","Espanol",17,"Leganes",12
"27/08/17","Getafe",15,"Sevilla",6
"27/08/17","Real Madrid",22,"Valencia",7
"08/09/17","Leganes",11,"Getafe",11
"09/09/17","Barcelona",20,"Espanol",9
"09/09/17","Real Madrid",18,"Levante",5
"09/09/17","Sevilla",12,"Eibar",7
"09/09/17","Valencia",11,"Ath Madrid",13
"10/09/17","Ath Bilbao",7,"Girona",11
"10/09/17","Celta",20,"Alaves",5
"10/09/17","La Coruna",11,"Sociedad",15
"10/09/17","Villarreal",14,"Betis",8
"11/09/17","Malaga",14,"Las Palmas",10
"15/09/17","Eibar",10,"Leganes",5
"16/09/17","Ath Madrid",17,"Malaga",9
"16/09/17","Betis",17,"La Coruna",11
"16/09/17","Getafe",13,"Barcelona",7
"16/09/17","Levante",9,"Valencia",13
"17/09/17","Alaves",16,"Villarreal",16
"17/09/17","Girona",13,"Sevilla",13
"17/09/17","Las Palmas",12,"Ath Bilbao",11
"17/09/17","Sociedad",10,"Real Madrid",18
"18/09/17","Espanol",9,"Celta",11
"19/09/17","Barcelona",11,"Eibar",13
"19/09/17","Valencia",16,"Malaga",11
"20/09/17","Ath Bilbao",12,"Ath Madrid",16
"20/09/17","La Coruna",15,"Alaves",8
"20/09/17","Leganes",12,"Girona",10
"20/09/17","Real Madrid",27,"Betis",12
"20/09/17","Sevilla",14,"Las Palmas",6
"21/09/17","Celta",8,"Getafe",10
"21/09/17","Levante",13,"Sociedad",13
"21/09/17","Villarreal",14,"Espanol",10
"23/09/17","Alaves",8,"Real Madrid",21
"23/09/17","Ath Madrid",13,"Sevilla",11
"23/09/17","Girona",13,"Barcelona",9
"23/09/17","Malaga",15,"Ath Bilbao",8
"24/09/17","Eibar",9,"Celta",10
"24/09/17","Espanol",17,"La Coruna",21
"24/09/17","Getafe",17,"Villarreal",6
"24/09/17","Las Palmas",8,"Leganes",9
"24/09/17","Sociedad",18,"Valencia",13
"25/09/17","Betis",14,"Levante",8
"29/09/17","Celta",16,"Girona",10
"30/09/17","La Coruna",15,"Getafe",10
"30/09/17","Leganes",7,"Ath Madrid",11
"30/09/17","Levante",13,"Alaves",8
"30/09/17","Sevilla",12,"Malaga",11
"01/10/17","Barcelona",22,"Las Palmas",10
"01/10/17","Real Madrid",22,"Espanol",8
"01/10/17","Sociedad",17,"Betis",10
"01/10/17","Valencia",10,"Ath Bilbao",16
"01/10/17","Villarreal",12,"Eibar",8
"13/10/17","Espanol",20,"Levante",13
"14/10/17","Alaves",8,"Sociedad",13
"14/10/17","Ath Bilbao",15,"Sevilla",14
"14/10/17","Ath Madrid",5,"Barcelona",15
"14/10/17","Getafe",8,"Real Madrid",16
"15/10/17","Betis",13,"Valencia",13
"15/10/17","Eibar",15,"La Coruna",11
"15/10/17","Girona",14,"Villarreal",5
"15/10/17","Malaga",13,"Leganes",19
"16/10/17","Las Palmas",24,"Celta",14
"21/10/17","Barcelona",12,"Malaga",13
"21/10/17","Betis",12,"Alaves",7
"21/10/17","Levante",5,"Getafe",9
"21/10/17","Valencia",18,"Sevilla",18
"22/10/17","Celta",19,"Ath Madrid",4
"22/10/17","Leganes",15,"Ath Bilbao",7
"22/10/17","Real Madrid",15,"Eibar",9
"22/10/17","Villarreal",25,"Las Palmas",16
"23/10/17","La Coruna",15,"Girona",13
"23/10/17","Sociedad",19,"Espanol",4
"28/10/17","Alaves",16,"Valencia",7
